district,date,mm
Agago,2026-06-25,6.34
Agago,2026-06-26,1.51
Alebtong,2026-06-25,5.83
Alebtong,2026-06-26,1.24
Amolatar,2026-06-25,5.87
Amolatar,2026-06-26,2.04
Amuria,2026-06-25,7.75
Amuria,2026-06-26,1.09
Amuru,2026-06-25,5.13
Amuru,2026-06-26,0.49
Apac,2026-06-25,4.17
Apac,2026-06-26,1.18
Dokolo,2026-06-25,7.75
Dokolo,2026-06-26,1.09
Gulu,2026-06-25,6.19
Gulu,2026-06-26,1.47
Kaberamaido,2026-06-25,5.87
Kaberamaido,2026-06-26,2.04
Kagadi,2026-06-25,2.31
Kagadi,2026-06-26,0.22
Kalaki,2026-06-25,7.75
Kalaki,2026-06-26,1.09
Kitgum,2026-06-25,5.34
Kitgum,2026-06-26,1.68
Kole,2026-06-25,4.45
Kole,2026-06-26,0.85
Kwania,2026-06-25,4.17
Kwania,2026-06-26,1.18
Kyenjojo,2026-06-25,2.31
Kyenjojo,2026-06-26,0.22
Lamwo,2026-06-25,7.64
Lamwo,2026-06-26,1.88
Lira,2026-06-25,5.83
Lira,2026-06-26,1.24
Nwoya,2026-06-25,3.95
Nwoya,2026-06-26,0.79
Omoro,2026-06-25,4.45
Omoro,2026-06-26,0.85
Otuke,2026-06-25,5.83
Otuke,2026-06-26,1.24
Oyam,2026-06-25,4.45
Oyam,2026-06-26,0.85
Pader,2026-06-25,6.34
Pader,2026-06-26,1.51
